batch_size,mixed_precision_latency_ms,regular_precision_latency_ms,mixed_precision_throughput,regular_precision_throughput,throughput_improvement,latency_reduction
8,15.452596800014362,15.555979700002354,517.7927071022441,514.7164039926663,1.0059766952941753,0.006645862361724264
16,26.455902750012683,26.54488810001112,604.7850131680063,602.7548941854972,1.0033680671896534,0.003352259375258071
32,51.7261065499838,51.90877790001878,618.6480075429312,616.4877060487588,1.0035042085559474,0.0035190840051526617
