batch_size,latency_ms_mean,per_sample_latency_ms,throughput_mean,scaling_efficiency,gpu_memory_mb_max,memory_per_sample_MB
8,15.555979700002354,1.9444974625002942,514.7164039926663,1.0,746.875,93.359375
16,26.54488810001112,1.659055506250695,602.7548941854972,0.5855213565275115,796.875,49.8046875
32,51.90877790001878,1.6221493093755868,616.4877060487588,0.29943076481857306,892.875,27.90234375
64,109.79568175000622,1.7155575273438473,582.9071785692067,0.14156027815695768,1084.875,16.951171875
128,221.10458360000393,1.7273795593750307,578.9159724099827,0.07029550252324859,1468.875,11.4755859375
